Description,Price,Rating,ReviewCount,Url
"DJI Mini 2 – Ultralight and Foldable Drone Quadcopter, 3-Axis Gimbal with 4K Camera, 12MP Photo, 31 Mins Flight Time, OcuSync 2.0 10km HD Video Transmission, QuickShots Gray",$449.00,4.7 out of 5 stars,"16,659",https://www.amazon.com/DJI-Mini-Ultralight-Quadcopter-Transmission/dp/B08JGYF5W1/ref=sr_1_35?keywords=1080&qid=1668556660&sr=8-35
"EVGA GeForce RTX 3090 FTW3 Ultra Gaming, 24GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate, 24G-P5-3987-KR","$1,600.00",4.6 out of 5 stars,835,https://www.amazon.com/EVGA-GeForce-Technology-Backplate-24G-P5-3987-KR/dp/B08J5F3G18/ref=sr_1_38?keywords=1080&qid=1668556660&sr=8-38
"PowerColor Red Devil AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache",$429.99,4.6 out of 5 stars,801,https://www.amazon.com/PowerColor-Graphics-Powered-Raytracing-Infinity/dp/B08Y934HZQ/ref=sr_1_40?keywords=1080&qid=1668556660&sr=8-40
"ASUS TUF Dash F15 Gaming & Entertainment Laptop (Intel i7-11370H 4-Core, 40GB RAM, 1TB PCIe SSD, RTX 3060, 15.6"" Full HD (1920x1080), WiFi, Bluetooth, 1xUSB 3.2, Win 11 Pro) with Hub","$2,490.32",4.2 out of 5 stars,3,https://www.amazon.com/ASUS-Entertainment-i7-11370H-1920x1080-Bluetooth/dp/B09KSCL15X/ref=sr_1_41?keywords=1080&qid=1668556660&sr=8-41
ASUS GeForce GTX 1050 Ti 4GB Phoenix Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (PH-GTX1050TI-4G) Graphic Cards,$189.99,4.6 out of 5 stars,"3,128",https://www.amazon.com/ASUS-Geforce-Phoenix-Graphics-PH-GTX1050TI-4G/dp/B01M360WG6/ref=sr_1_42?keywords=1080&qid=1668556660&sr=8-42
Nvidia GeForce GTX 1070 Founders Edition - 900-1G411-2520-001 (Renewed),$399.99,4.4 out of 5 stars,145,https://www.amazon.com/Nvidia-GeForce-GTX-1070-Founders/dp/B01H1BLHYS/ref=sr_1_43?keywords=1080&qid=1668556660&sr=8-43
"CYBERPOWERPC Gamer Xtreme VR Gaming PC & Acer SB220Q bi 21.5 Inches Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Monitor (HDMI & VGA Port), Black",$919.98,4.6 out of 5 stars,"2,439",https://www.amazon.com/CYBERPOWERPC-Xtreme-Gaming-Ultra-Thin-Monitor/dp/B0BK4K1L7B/ref=sr_1_44?keywords=1080&qid=1668556660&sr=8-44
"HP 15t-dy200 Home & Business Laptop (Intel i7-1165G7 4-Core, 16GB RAM, 1TB PCIe SSD, Intel Iris Xe, 15.6"" 60Hz Touch Full HD (1920x1080), Fingerprint, WiFi, Win 10 Pro) with WD19S 180W Dock","$1,599.00",,,https://www.amazon.com/HP-15t-dy200-i7-1165G7-1920x1080-Fingerprint/dp/B0BHYR8ZCP/ref=sr_1_45?keywords=1080&qid=1668556660&sr=8-45
ASUS GeForce GTX 1080 TI 11GB Turbo Edition VR Ready 5K HD Gaming HDMI DisplayPort PC GDDR5X Graphics Card TURBO-GTX1080TI-11G (Renewed),$599.99,3.9 out of 5 stars,63,https://www.amazon.com/GeForce-DisplayPort-Graphics-TURBO-GTX1080TI-11G-Renewed/dp/B07JZM3H76/ref=sr_1_47?keywords=1080&qid=1668556660&sr=8-47
"SAMSUNG 32-Inch Class QLED Q60A Series - 4K UHD Dual LED Quantum HDR Smart TV with Alexa Built-in (QN32Q60AAFXZA, 2021 Model)",$397.99,4.6 out of 5 stars,"5,453",https://www.amazon.com/SAMSUNG-32-Inch-Class-QLED-Built/dp/B093CP66L7/ref=sr_1_48?keywords=1080&qid=1668556660&sr=8-48
"Lenovo ThinkPad T15 Gen 2 20W400K1US 15.6"" Touchscreen Notebook - Full HD - 1920 x 1080 - Intel Core i7 11th Gen i7-1185G7 Quad-core (4 Core) 3 GHz - 16 GB RAM - 512 GB SSD - Black","$1,326.60",,,https://www.amazon.com/Lenovo-ThinkPad-20W400K1US-Touchscreen-Notebook/dp/B09QHJYSLP/ref=sr_1_49?keywords=1080&qid=1668556661&sr=8-49
"Dell Latitude 9000 9520 15"" Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1145G7 Quad-core (4 Core) 2.60 GHz - 16 GB Total RAM - 256 GB SSD - Anodized Titan Gray","$1,356.93",,,https://www.amazon.com/Dell-Latitude-9000-9520-Notebook/dp/B0B77BZTD7/ref=sr_1_50?keywords=1080&qid=1668556661&sr=8-50
"Lenovo Yoga 7i Home & Business 2-in-1 Laptop (Intel i7-1165G7 4-Core, 12GB RAM, 512GB PCIe SSD, Intel Iris Xe, 15.6"" 60Hz Touch Full HD (1920x1080), Fingerprint, WiFi, Win 10 Pro) (Renewed)","$1,035.20",,,https://www.amazon.com/Lenovo-Business-i7-1165G7-1920x1080-Fingerprint/dp/B0B3Y7XPNT/ref=sr_1_52?keywords=1080&qid=1668556661&sr=8-52
Gigabyte Geforce GTX 1050 Ti 4GB GDDR5 128 Bit PCI-E Graphic Card (GV-N105TD5-4GD),$148.99,4.6 out of 5 stars,"6,937",https://www.amazon.com/Gigabyte-Geforce-GDDR5-Graphic-GV-N105TD5-4GD/dp/B01M4KGTNI/ref=sr_1_53?keywords=1080&qid=1668556661&sr=8-53
"HP EliteBook 845 G8 Home & Business Laptop (AMD Ryzen 5 Pro 5650U 6-Core, 64GB RAM, 512GB PCIe SSD, AMD Radeon, 14.0"" 60Hz Full HD (1920x1080), Fingerprint, WiFi, Bluetooth, Win 10 Pro) with Hub",$550.00,,,https://www.amazon.com/HP-EliteBook-1920x1080-Fingerprint-Bluetooth/dp/B0BM4JPSTH/ref=sr_1_54?keywords=1080&qid=1668556661&sr=8-54
"Latest Lenovo ThinkBook 14 Gen 2, 11th gen Intel i7-1165G7, 1TB SSD, 16GB DDR4 RAM, 14"" FHD (1920 x 1080) IPS, Anti-Glare, Thunderbolt 4, Fingerprint Reader, Win 10 Pro - Mineral Grey",$999.99,4.0 out of 5 stars,25,https://www.amazon.com/Lenovo-ThinkBook-Anti-Glare-Thunderbolt-Fingerprint/dp/B09TZ6J3WM/ref=sr_1_55?keywords=1080&qid=1668556661&sr=8-55
"Lenovo ThinkPad X260 Business Laptop: 12.5"" IPS Anti-Glare FHD (1920x1080), Intel Core i7-6600U, 256GB SSD, 16GB DDR4, Backlit Keyboard, FP Reader, Windows 7 Pro Upgradeable to Win 10 Pro","$1,099.99",3.3 out of 5 stars,12,https://www.amazon.com/Lenovo-ThinkPad-X260-Business-Laptop/dp/B073HSXZNN/ref=sr_1_56?keywords=1080&qid=1668556661&sr=8-56
"Amazon Basics Uni-Directional DisplayPort to HDMI Display Cable 4K@30Hz - 10 Feet, 5-Pack",$35.04,4.6 out of 5 stars,"45,845",https://www.amazon.com/Amazon-Basics-Uni-Directional-DisplayPort-Display/dp/B07QHJ52X9/ref=sr_1_57?keywords=1080&qid=1668556661&sr=8-57
"Lenovo ThinkPad L14 Gen 3 21C1004BUS 14"" Touchscreen Notebook - Full HD - 1920 x 1080 - Intel Core i7 12th Gen i7-1255U Deca-core (10 Core) - 16 GB Total RAM - 256 GB SSD - Thunder Black - Intel","$1,287.34",,,https://www.amazon.com/Lenovo-ThinkPad-21C1004BUS-Touchscreen-Notebook/dp/B0BCL55FCS/ref=sr_1_58?keywords=1080&qid=1668556661&sr=8-58
"HP EliteBook x360 1040 G6 14"" Touchscreen 2 in 1 Notebook - 1920 x 1080 - Core i5 i5-8265U - 16 GB RAM - 512 GB SSD - Windows 10 Pro 64-bit - Intel UHD Graphics 620 - In-plane Switching (IPS) Technolo","$1,378.99",,,https://www.amazon.com/HP-EliteBook-Touchscreen-Notebook-plane/dp/B081QW42J8/ref=sr_1_59?keywords=1080&qid=1668556661&sr=8-59
"SGIN Laptop 15.6 Inch Laptops 4GB RAM 128GB ROM SSD Windows 11 Laptops with FHD 1920x1080 Display, 2.8Ghz IPS Display Intel Celeron N4020C Supports 512GB TF Card Expansion",$259.99,4.3 out of 5 stars,147,https://www.amazon.com/SGIN-Laptops-1920x1080-Supports-Expansion/dp/B0B74JGNSG/ref=sr_1_60?keywords=1080&qid=1668556661&sr=8-60
"Dell Latitude 3000 3520 15.6"" Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1135G7 Quad-core (4 Core) 2.40 GHz - 8 GB Total RAM - 256 GB SSD - Black",$829.99,,,https://www.amazon.com/Dell-Latitude-3000-3520-Notebook/dp/B09PHDJZ9N/ref=sr_1_61?keywords=1080&qid=1668556661&sr=8-61
Logitech Group Video Conferencing System - 1920 x 1080 Video (Content) - 30 fps - TAA Compliance,"$1,255.68",,,https://www.amazon.com/Logitech-Group-Video-Conferencing-System/dp/B01I97W5PS/ref=sr_1_62?keywords=1080&qid=1668556661&sr=8-62
"Lenovo ThinkPad T15g Gen 2 20YS002MUS 15.6"" Notebook - Full HD - 1920 x 1080 - Intel Core i7 11th Gen i7-11800H Octa-core (8 Core) 2.30 GHz - 16 GB RAM - 512 GB SSD - Black","$2,749.00",,,https://www.amazon.com/Lenovo-ThinkPad-T15g-20YS002MUS-Notebook/dp/B09H3S21MT/ref=sr_1_64?keywords=1080&qid=1668556661&sr=8-64
